"","V3","n","hgnc_symbol"
"322","ENSG00000070950",2,"RAD18"
"323","ENSG00000071054",1,"MAP4K4"
"324","ENSG00000071537",2,"SEL1L"
"325","ENSG00000071539",1,"TRIP13"
"326","ENSG00000071564",2,"TCF3"
"327","ENSG00000071655",2,"MBD3"
"328","ENSG00000071991",1,"CDH19"
"329","ENSG00000071994",1,"PDCD2"
"330","ENSG00000072062",6,"PRKACA"
"331","ENSG00000072110",2,"ACTN1"
"332","ENSG00000072201",4,"LNX1"
"333","ENSG00000072274",4,"TFRC"
"334","ENSG00000072310",5,"SREBF1"
"335","ENSG00000072315",2,"TRPC5"
"336","ENSG00000072401",3,"UBE2D1"
"337","ENSG00000072501",2,"SMC1A"
"338","ENSG00000072571",3,"HMMR"
"339","ENSG00000072803",1,"FBXW11"
"340","ENSG00000072832",2,"CRMP1"
"341","ENSG00000072958",1,"AP1M1"
"342","ENSG00000073008",5,"PVR"
"343","ENSG00000073050",27,"XRCC1"
"344","ENSG00000073111",4,"MCM2"
"345","ENSG00000073150",1,"PANX2"
"346","ENSG00000073282",3,"TP63"
"347","ENSG00000073578",1,"SDHA"
"348","ENSG00000073614",2,"KDM5A"
"349","ENSG00000073712",1,"FERMT2"
"350","ENSG00000073756",37,"PTGS2"
"351","ENSG00000073792",3,"IGF2BP2"
"352","ENSG00000073849",1,"ST6GAL1"
"353","ENSG00000074047",10,"GLI2"
"354","ENSG00000074181",5,"NOTCH3"
"355","ENSG00000074211",1,"PPP2R2C"
"356","ENSG00000074317",1,"SNCB"
"357","ENSG00000074410",3,"CA12"
"358","ENSG00000074527",2,"NTN4"
"359","ENSG00000074590",1,"NUAK1"
"360","ENSG00000074695",1,"LMAN1"
"361","ENSG00000074800",4,"ENO1"
"362","ENSG00000074803",1,"SLC12A1"
"363","ENSG00000075043",1,"KCNQ2"
"364","ENSG00000075073",1,"TACR2"
"365","ENSG00000075142",2,"SRI"
"366","ENSG00000075213",6,"SEMA3A"
"367","ENSG00000075223",3,"SEMA3C"
"368","ENSG00000075239",1,"ACAT1"
"369","ENSG00000075292",1,"ZNF638"
"370","ENSG00000075391",1,"RASAL2"
"371","ENSG00000075420",1,"FNDC3B"
"372","ENSG00000075426",2,"FOSL2"
"373","ENSG00000075429",1,"CACNG5"
"374","ENSG00000075618",3,"FSCN1"
"375","ENSG00000075624",3,"ACTB"
"376","ENSG00000075651",4,"PLD1"
"377","ENSG00000075711",1,"DLG1"
"378","ENSG00000075785",1,"RAB7A"
"379","ENSG00000075856",1,"SART3"
"380","ENSG00000075884",1,"ARHGAP15"
"381","ENSG00000075891",1,"PAX2"
"382","ENSG00000076003",1,"MCM6"
"383","ENSG00000076242",9,"MLH1"
"384","ENSG00000076321",1,"KLHL20"
"385","ENSG00000076554",1,"TPD52"
"386","ENSG00000076555",1,"ACACB"
"387","ENSG00000076662",1,"ICAM3"
"388","ENSG00000077092",2,"RARB"
"389","ENSG00000077097",4,"TOP2B"
"390","ENSG00000077150",3,"NFKB2"
"391","ENSG00000077238",11,"IL4R"
"392","ENSG00000077279",6,"DCX"
"393","ENSG00000077312",1,"SNRPA"
"394","ENSG00000077463",4,"SIRT6"
"395","ENSG00000077498",1,"TYR"
"396","ENSG00000077514",1,"POLD3"
"397","ENSG00000077549",1,"CAPZB"
"398","ENSG00000077782",21,"FGFR1"
"399","ENSG00000078018",5,"MAP2"
"400","ENSG00000078098",2,"FAP"
"401","ENSG00000078237",5,"TIGAR"
"402","ENSG00000078269",1,"SYNJ2"
"403","ENSG00000078328",1,"RBFOX1"
"404","ENSG00000078399",4,"HOXA9"
"405","ENSG00000078401",4,"EDN1"
"406","ENSG00000078687",1,"TNRC6C"
"407","ENSG00000078725",1,"BRINP1"
"408","ENSG00000078747",3,"ITCH"
"409","ENSG00000078900",15,"TP73"
"410","ENSG00000078902",1,"TOLLIP"
"411","ENSG00000079215",4,"SLC1A3"
"412","ENSG00000079246",10,"XRCC5"
"413","ENSG00000079277",4,"MKNK1"
"414","ENSG00000079385",2,"CEACAM1"
"415","ENSG00000079387",1,"SENP1"
"416","ENSG00000079432",15,"CIC"
"417","ENSG00000079557",1,"AFM"
"418","ENSG00000079691",1,"CARMIL1"
"419","ENSG00000079805",1,"DNM2"
"420","ENSG00000079999",3,"KEAP1"
"421","ENSG00000080166",2,"DCT"
"422","ENSG00000080293",1,"SCTR"
"423","ENSG00000080298",1,"RFX3"
"424","ENSG00000080371",2,"RAB21"
"425","ENSG00000080503",1,"SMARCA2"
"426","ENSG00000080815",4,"PSEN1"
"427","ENSG00000080823",1,"MOK"
"428","ENSG00000080824",5,"HSP90AA1"
"429","ENSG00000080839",1,"RBL1"
"430","ENSG00000081026",2,"MAGI3"
"431","ENSG00000081052",1,"COL4A4"
"432","ENSG00000081059",3,"TCF7"
"433","ENSG00000081181",2,"ARG2"
"434","ENSG00000081237",1,"PTPRC"
"435","ENSG00000081870",1,"HSPB11"
"436","ENSG00000081913",4,"PHLPP1"
"437","ENSG00000082175",6,"PGR"
