"","V3","n","hgnc_symbol"
"298","ENSG00000054282",1,"SDCCAG8"
"299","ENSG00000054523",1,"KIF1B"
"300","ENSG00000054611",1,"TBC1D22A"
"301","ENSG00000054690",1,"PLEKHH1"
"302","ENSG00000054965",1,"FAM168A"
"303","ENSG00000055044",1,"NOP58"
"304","ENSG00000055118",1,"KCNH2"
"305","ENSG00000055130",10,"CUL1"
"306","ENSG00000055163",1,"CYFIP2"
"307","ENSG00000055208",3,"TAB2"
"308","ENSG00000055609",2,"KMT2C"
"309","ENSG00000055955",2,"ITIH4"
"310","ENSG00000055957",1,"ITIH1"
"311","ENSG00000056487",1,"PHF21B"
"312","ENSG00000057252",2,"SOAT1"
"313","ENSG00000057593",3,"F7"
"314","ENSG00000057608",2,"GDI2"
"315","ENSG00000057663",3,"ATG5"
"316","ENSG00000057935",1,"MTA3"
"317","ENSG00000058063",1,"ATP11B"
"318","ENSG00000058085",2,"LAMC2"
"319","ENSG00000058091",2,"CDK14"
"320","ENSG00000058272",4,"PPP1R12A"
"321","ENSG00000058404",1,"CAMK2B"
"322","ENSG00000058453",1,"CROCC"
"323","ENSG00000058600",1,"POLR3E"
"324","ENSG00000058668",1,"ATP2B4"
"325","ENSG00000058673",1,"ZC3H11A"
"326","ENSG00000059573",1,"ALDH18A1"
"327","ENSG00000059804",1,"SLC2A3"
"328","ENSG00000059915",1,"PSD"
"329","ENSG00000060140",1,"STYK1"
"330","ENSG00000060237",1,"WNK1"
"331","ENSG00000060339",2,"CCAR1"
"332","ENSG00000060656",1,"PTPRU"
"333","ENSG00000060749",1,"QSER1"
"334","ENSG00000060762",1,"MPC1"
"335","ENSG00000060982",1,"BCAT1"
"336","ENSG00000061337",3,"LZTS1"
"337","ENSG00000061938",6,"TNK2"
"338","ENSG00000061987",1,"MON2"
"339","ENSG00000062038",4,"CDH3"
"340","ENSG00000062282",1,"DGAT2"
"341","ENSG00000063046",3,"EIF4B"
"342","ENSG00000063169",2,"BICRA"
"343","ENSG00000063176",2,"SPHK2"
"344","ENSG00000063177",1,"RPL18"
"345","ENSG00000063244",1,"U2AF2"
"346","ENSG00000063245",1,"EPN1"
"347","ENSG00000063854",4,"HAGH"
"348","ENSG00000063978",2,"RNF4"
"349","ENSG00000064012",19,"CASP8"
"350","ENSG00000064042",1,"LIMCH1"
"351","ENSG00000064115",1,"TM7SF3"
"352","ENSG00000064225",2,"ST3GAL6"
"353","ENSG00000064300",6,"NGFR"
"354","ENSG00000064309",2,"CDON"
"355","ENSG00000064393",1,"HIPK2"
"356","ENSG00000064547",2,"LPAR2"
"357","ENSG00000064601",1,"CTSA"
"358","ENSG00000064607",1,"SUGP2"
"359","ENSG00000064666",1,"CNN2"
"360","ENSG00000064703",1,"DDX20"
"361","ENSG00000064787",2,"BCAS1"
"362","ENSG00000064835",2,"POU1F1"
"363","ENSG00000064932",1,"SBNO2"
"364","ENSG00000064961",2,"HMG20B"
"365","ENSG00000064999",1,"ANKS1A"
"366","ENSG00000065054",1,"SLC9A3R2"
"367","ENSG00000065243",1,"PKN2"
"368","ENSG00000065320",3,"NTN1"
"369","ENSG00000065328",1,"MCM10"
"370","ENSG00000065361",20,"ERBB3"
"371","ENSG00000065413",1,"ANKRD44"
"372","ENSG00000065427",1,"KARS"
"373","ENSG00000065485",2,"PDIA5"
"374","ENSG00000065518",1,"NDUFB4"
"375","ENSG00000065526",1,"SPEN"
"376","ENSG00000065534",2,"MYLK"
"377","ENSG00000065559",7,"MAP2K4"
"378","ENSG00000065675",1,"PRKCQ"
"379","ENSG00000065882",2,"TBC1D1"
"380","ENSG00000065883",2,"CDK13"
"381","ENSG00000065923",1,"SLC9A7"
"382","ENSG00000065970",1,"FOXJ2"
"383","ENSG00000065978",16,"YBX1"
"384","ENSG00000066027",1,"PPP2R5A"
"385","ENSG00000066044",8,"ELAVL1"
"386","ENSG00000066056",1,"TIE1"
"387","ENSG00000066084",1,"DIP2B"
"388","ENSG00000066117",3,"SMARCD1"
"389","ENSG00000066135",5,"KDM4A"
"390","ENSG00000066136",1,"NFYC"
"391","ENSG00000066230",1,"SLC9A3"
"392","ENSG00000066248",1,"NGEF"
"393","ENSG00000066279",1,"ASPM"
"394","ENSG00000066336",1,"SPI1"
"395","ENSG00000066468",6,"FGFR2"
"396","ENSG00000066651",1,"TRMT11"
"397","ENSG00000066827",1,"ZFAT"
"398","ENSG00000066926",2,"FECH"
"399","ENSG00000066933",1,"MYO9A"
"400","ENSG00000067066",1,"SP100"
"401","ENSG00000067082",17,"KLF6"
"402","ENSG00000067113",3,"PLPP1"
"403","ENSG00000067182",1,"TNFRSF1A"
"404","ENSG00000067225",11,"PKM"
"405","ENSG00000067369",2,"TP53BP1"
"406","ENSG00000067560",15,"RHOA"
"407","ENSG00000067606",10,"PRKCZ"
"408","ENSG00000067646",1,"ZFY"
"409","ENSG00000067704",1,"IARS2"
"410","ENSG00000067842",1,"ATP2B3"
"411","ENSG00000067900",8,"ROCK1"
"412","ENSG00000067955",1,"CBFB"
"413","ENSG00000067992",1,"PDK3"
"414","ENSG00000068024",3,"HDAC4"
"415","ENSG00000068028",20,"RASSF1"
"416","ENSG00000068078",2,"FGFR3"
"417","ENSG00000068305",2,"MEF2A"
"418","ENSG00000068366",1,"ACSL4"
"419","ENSG00000068383",1,"INPP5A"
"420","ENSG00000068400",1,"GRIPAP1"
"421","ENSG00000068489",1,"PRR11"
"422","ENSG00000068650",1,"ATP11A"
"423","ENSG00000068654",2,"POLR1A"
"424","ENSG00000068724",1,"TTC7A"
"425","ENSG00000068903",2,"SIRT2"
"426","ENSG00000068976",1,"PYGM"
"427","ENSG00000068985",2,"PAGE1"
"428","ENSG00000069188",1,"SDK2"
"429","ENSG00000069275",3,"NUCKS1"
"430","ENSG00000069345",2,"DNAJA2"
"431","ENSG00000069399",2,"BCL3"
"432","ENSG00000069493",1,"CLEC2D"
"433","ENSG00000069667",2,"RORA"
"434","ENSG00000069702",2,"TGFBR3"
"435","ENSG00000069869",5,"NEDD4"
"436","ENSG00000069956",1,"MAPK6"
"437","ENSG00000069974",2,"RAB27A"
"438","ENSG00000070010",1,"UFD1"
"439","ENSG00000070018",2,"LRP6"
"440","ENSG00000070081",4,"NUCB2"
"441","ENSG00000070159",1,"PTPN3"
"442","ENSG00000070182",1,"SPTB"
"443","ENSG00000070193",3,"FGF10"
"444","ENSG00000070366",1,"SMG6"
"445","ENSG00000070371",1,"CLTCL1"
"446","ENSG00000070495",1,"JMJD6"
"447","ENSG00000070501",3,"POLB"
"448","ENSG00000070601",1,"FRMPD1"
"449","ENSG00000070756",4,"PABPC1"
"450","ENSG00000070814",1,"TCOF1"
"451","ENSG00000070831",2,"CDC42"
"452","ENSG00000070915",1,"SLC12A3"
"453","ENSG00000070961",2,"ATP2B1"
"454","ENSG00000071051",1,"NCK2"
"455","ENSG00000071082",1,"RPL31"
"456","ENSG00000071205",1,"ARHGAP10"
"457","ENSG00000071242",1,"RPS6KA2"
"458","ENSG00000071243",2,"ING3"
"459","ENSG00000071246",1,"VASH1"
"460","ENSG00000071539",3,"TRIP13"
"461","ENSG00000071564",3,"TCF3"
"462","ENSG00000071626",1,"DAZAP1"
"463","ENSG00000071655",1,"MBD3"
"464","ENSG00000072042",2,"RDH11"
