"Entity1_id","numChemical","Ensembl.Id","Symbol"
"PA134905007",3,"ENSG00000088854","C20orf194"
"PA134915546",3,"ENSG00000164756","SLC30A8"
"PA134944221",3,"ENSG00000112378","PERP"
"PA134945356",3,"ENSG00000165959","CLMN"
"PA134952132",3,"ENSG00000163938","GNL3"
"PA134956867",3,"ENSG00000172061","LRRC15"
"PA134986407",3,"ENSG00000186104","CYP2R1"
"PA142670670",3,"ENSG00000137267","TUBB2A"
"PA142670904",3,"ENSG00000151475","SLC25A31"
"PA142671636",3,"ENSG00000164808","SPIDR"
"PA142672032",3,"","CYCSP5"
"PA142672422",3,"ENSG00000178965","ERICH3"
"PA143",3,"ENSG00000228716","DHFR"
"PA157",3,"ENSG00000180210","F2"
"PA162",3,"ENSG00000124491","F13A1"
"PA162376926",3,"ENSG00000130707","ASS1"
"PA162393424",3,"ENSG00000126214,ENSG00000256500","KLC1"
"PA162395090",3,"ENSG00000139915","MDGA2"
"PA162403808",3,"ENSG00000142494","SLC47A1"
"PA162405909",3,"ENSG00000174695","TMEM167A"
"PA163",3,"ENSG00000171564","FGB"
"PA164724093",3,"ENSG00000007171","NOS2"
"PA164726680",3,"ENSG00000120471","TP53AIP1"
"PA165",3,"ENSG00000010932","FMO1"
"PA165752124",3,"","NPPA-AS1"
"PA17",3,"ENSG00000171428","NAT1"
"PA181",3,"ENSG00000113580","NR3C1"
"PA183",3,"ENSG00000184674","GSTT1"
"PA184",3,"ENSG00000116062","MSH6"
"PA199",3,"ENSG00000169194","IL13"
"PA203",3,"ENSG00000169047","IRS1"
"PA217",3,"ENSG00000187486","KCNJ11"
"PA24408",3,"ENSG00000160179","ABCG1"
"PA24693",3,"ENSG00000128918","ALDH1A2"
"PA24842",3,"ENSG00000138356","AOX1"
"PA24933",3,"ENSG00000109321,ENSG00000205595","AREG"
"PA25370",3,"ENSG00000108578","BLMH"
"PA25804",3,"ENSG00000101255","TRIB3"
"PA25987",3,"ENSG00000074410","CA12"
"PA26161",3,"ENSG00000090061","CCNK"
"PA27097",3,"ENSG00000019186","CYP24A1"
"PA28115",3,"ENSG00000138685","FGF2"
"PA28127",3,"ENSG00000077782,ENSG00000249195","FGFR1"
"PA28129",3,"ENSG00000068078","FGFR3"
"PA28140",3,"ENSG00000189283","FHIT"
"PA28202",3,"ENSG00000125954,ENSG00000257365","FNTB"
"PA28237",3,"ENSG00000150907","FOXO1"
"PA28386",3,"ENSG00000170820","FSHR"
"PA28494",3,"ENSG00000145863","GABRA6"
"PA28503",3,"ENSG00000094755","GABRP"
"PA28953",3,"ENSG00000224586,ENSG00000226219","GPX5"
"PA28966",3,"ENSG00000155511","GRIA1"
"PA29009",3,"ENSG00000082701","GSK3B"
"PA29024",3,"ENSG00000134202","GSTM3"
"PA29226",3,"ENSG00000116478","HDAC1"
"PA29283",3,"ENSG00000100644","HIF1A"
"PA29340",3,"ENSG00000072571","HMMR"
"PA29444",3,"ENSG00000174775","HRAS"
"PA29785",3,"ENSG00000113302","IL12B"
"PA29832",3,"ENSG00000077238","IL4R"
"PA29863",3,"ENSG00000178035","IMPDH2"
"PA29938",3,"ENSG00000005961","ITGA2B"
"PA30729",3,"ENSG00000169057","MECP2"
"PA30763",3,"ENSG00000105976","MET"
"PA30812",3,"ENSG00000204516,ENSG00000231179","MICB"
"PA30886",3,"ENSG00000149968","MMP3"
"PA310",3,"ENSG00000103546","SLC6A2"
"PA31583",3,"ENSG00000101096","NFATC2"
"PA31691",3,"ENSG00000074771","NOX3"
"PA31776",3,"ENSG00000157168","NRG1"
"PA31778",3,"ENSG00000185737","NRG3"
"PA31786",3,"ENSG00000179915","NRXN1"
"PA31799",3,"ENSG00000116981","NT5C1A"
"PA318",3,"ENSG00000125255","SLC10A2"
"PA31875",3,"ENSG00000089127","OAS1"
"PA31943",3,"ENSG00000082556","OPRK1"
"PA32840",3,"ENSG00000036473","OTC"
"PA330",3,"ENSG00000146477","SLC22A3"
"PA33313",3,"ENSG00000105647","PIK3R2"
"PA33545",3,"ENSG00000204531,ENSG00000206454,ENSG00000229094,ENSG00000230336,ENSG00000233911,ENSG00000235068,ENSG00000237582","POU5F1"
"PA33676",3,"ENSG00000112640","PPP2R5D"
"PA33714",3,"ENSG00000142611","PRDM16"
"PA33799",3,"ENSG00000115718","PROC"
"PA33919",3,"ENSG00000204540,ENSG00000231094,ENSG00000233439,ENSG00000235487","PSORS1C1"
"PA33921",3,"","PSORS1C3"
"PA33995",3,"ENSG00000134242,ENSG00000248536","PTPN22"
"PA34068",3,"ENSG00000100504","PYGL"
"PA341",3,"ENSG00000197165","SULT1A2"
"PA34195",3,"ENSG00000104881","PPP1R13L"
"PA34299",3,"ENSG00000100387","RBX1"
"PA34335",3,"ENSG00000165731","RET"
"PA34376",3,"ENSG00000143248","RGS5"
"PA34445",3,"ENSG00000112130","RNF8"
"PA34633",3,"ENSG00000047936","ROS1"
"PA35071",3,"ENSG00000204287,ENSG00000227993","HLA-DRA"
"PA35076",3,"ENSG00000198502","HLA-DRB5"
"PA351",3,"ENSG00000180176","TH"
"PA35753",3,"ENSG00000176974","SHMT1"
"PA36067",3,"ENSG00000197912","SPG7"
"PA36236",3,"ENSG00000103496","STX4"
"PA37304",3,"ENSG00000150630","VEGFC"
"PA38055",3,"ENSG00000101158","NELFCD"
